operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
CARTAO,2021-08-18,5,2.5794444,1.8202777,10,87,1,8,12,4,0,0,24,36,45,7,8.182334743355010
CONSIG,2021-08-18,15,55.9669444,2.1452777,56,1480,14,2,123,76,0,31,425,548,595,36,9.430030018546490
VEICULOS,2021-08-18,19,57.4300000,0.0008333,73,674,266,67,500,0,0,0,0,500,833,26,8.706124758767793
CONSIG,2021-08-19,15,62.5230555,6.5222222,107,571,39,3,393,47,0,27,333,726,795,48,10.514839296274989
CARTAO,2021-08-19,5,7.7133333,3.3425000,47,89,9,19,79,11,0,0,27,106,134,21,9.587698801537650
C6,2021-08-19,1,0.1516666,0.0980555,0,1,0,0,1,0,0,0,0,1,1,1,4.004449388209121
VEICULOS,2021-08-19,25,48.4658333,0.0011111,87,925,414,71,559,0,0,0,0,559,1044,22,11.533634034651337
VEICULOS,2021-08-20,14,21.9380555,0.0000000,37,619,117,37,444,0,0,0,0,444,598,31,20.238803702343720
CARTAO,2021-08-20,4,5.0183333,2.6452777,36,84,4,17,26,4,0,3,32,58,82,14,7.568233716336221
CONSIG,2021-08-20,16,67.4597222,7.9938888,181,411,55,4,525,36,2,27,272,797,885,49,10.562781399903546
CARTAO,2021-08-21,4,4.9863888,0.9013888,14,169,1,2,23,9,1,2,45,68,74,17,11.549348933761087
CONSIG,2021-08-21,12,39.0163888,16.9497222,145,38,61,3,526,7,0,9,19,545,618,45,9.738035914591171
VEICULOS,2021-08-21,14,32.1608333,0.0008333,28,595,321,41,405,0,0,0,0,405,767,28,12.592630978908639
CARTAO,2021-08-23,5,3.5680555,3.9186111,39,14,5,17,36,1,1,1,5,41,65,8,5.476402493321460
CONSIG,2021-08-23,15,58.7880555,9.3250000,166,343,46,3,485,23,2,29,236,721,801,48,10.585342180280335
VEICULOS,2021-08-23,21,39.2397222,0.0000000,77,562,386,48,574,0,0,0,0,574,1008,27,14.628034234017400
C6,2021-08-23,1,0.1630555,3.0261111,3,6,0,0,2,0,0,0,0,2,2,2,0.627123072903057
CARTAO,2021-08-24,5,5.8530555,6.9394444,43,2,3,19,102,0,0,0,2,104,126,20,8.129763533320305
VEICULOS,2021-08-24,31,71.5708333,0.6913888,102,906,335,70,606,0,0,0,0,606,1011,19,8.386124607909466
CONSIG,2021-08-24,16,72.1202777,6.1683333,217,376,64,3,671,32,0,37,234,905,1009,56,11.559791228325391
C6,2021-08-24,1,0.0533333,3.8708333,8,16,0,1,0,0,0,0,0,0,1,0,0.000000000000000
VEICULOS,2021-08-25,25,59.3691666,0.0027777,80,969,317,97,638,0,0,0,0,638,1052,25,10.745816158960227
CARTAO,2021-08-25,5,13.3747222,3.9613888,71,155,5,46,103,14,0,5,76,179,235,35,10.325268386476526
CONSIG,2021-08-25,16,70.5683333,5.1991666,186,357,58,7,584,31,6,37,236,820,928,51,10.822582241726334
C6,2021-08-25,1,0.0236111,0.4019444,0,7,0,2,0,0,0,0,0,0,2,0,0.000000000000000
VEICULOS,2021-08-26,27,85.1555555,0.0016666,57,825,271,67,581,0,0,0,0,581,919,21,6.822674399639882
CARTAO,2021-08-26,5,3.7558333,7.8369444,37,10,0,33,40,2,1,0,3,43,77,8,3.709205923228063
C6,2021-08-26,0,0.0000000,0.0000000,0,4,0,0,0,0,0,0,0,0,0,0,0.000000000000000
CONSIG,2021-08-26,16,71.5238888,6.1058333,178,348,80,2,654,33,4,29,236,890,1005,55,11.464680982012187
CARTAO,2021-08-27,4,8.0986111,3.7388888,98,8,5,31,135,1,0,0,4,139,175,34,11.742344244984160
VEICULOS,2021-08-27,22,74.3205555,0.0016666,74,802,347,41,532,0,0,0,0,532,920,24,7.158020630886530
CONSIG,2021-08-27,16,69.5194444,6.3966666,177,321,45,5,692,19,2,33,221,913,998,57,12.026432685200770
CARTAO,2021-08-28,3,5.6380555,1.1858333,20,127,5,18,38,5,1,2,38,76,102,25,11.137344296995848
CONSIG,2021-08-28,11,35.6508333,8.7527777,152,36,56,2,461,3,0,3,21,482,543,43,10.854973006449676
VEICULOS,2021-08-28,14,25.1847222,0.0013888,31,329,312,5,253,0,0,0,0,253,570,18,10.045218925774788
CARTAO,2021-08-30,5,1.4227777,1.1613888,13,16,0,9,15,0,0,0,5,20,29,4,7.739438890680426
CONSIG,2021-08-30,16,65.2250000,6.6377777,160,380,51,5,558,25,1,34,265,823,914,51,11.452382240844820
VEICULOS,2021-08-30,23,75.7938888,0.0016666,62,418,611,38,361,0,0,0,0,361,1010,15,4.762812243461944
CONSIG,2021-08-31,16,62.5908333,6.2891666,139,338,34,4,589,23,1,35,222,811,885,50,11.774099883855981
CARTAO,2021-08-31,3,2.9994444,0.9802777,35,4,1,8,49,0,0,0,2,51,60,17,12.814964751867104
